                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    139,                0.51185,                0.26593,                0.79636,                0.86392,                0.80181,                0.82366,                0.61156,                0.77526,                0.38305,                0.83527,             0.00022627,             0.00022627,             0.00022627
                    140,                0.51158,                 0.2633,                0.79339,                0.87079,                0.79544,                0.82446,                0.60892,                0.78115,                0.38378,                 0.8364,             0.00022273,             0.00022273,             0.00022273
                    141,                0.50234,                0.25927,                0.78779,                0.86564,                0.78944,                0.82053,                0.60233,                0.77765,                0.37777,                0.83616,              0.0002192,              0.0002192,              0.0002192
                    142,                0.49884,                 0.2633,                0.79681,                0.87239,                0.80459,                0.81719,                0.60654,                0.76953,                0.37498,                0.83428,             0.00021566,             0.00021566,             0.00021566
                    143,                0.50375,                0.25798,                0.79341,                0.90331,                0.79688,                0.82121,                 0.6187,                0.77955,                0.37724,                0.83575,             0.00021213,             0.00021213,             0.00021213
                    144,                0.48457,                0.25451,                0.78725,                0.88698,                0.79469,                0.81957,                 0.6151,                0.77165,                0.38223,                0.83483,              0.0002086,              0.0002086,              0.0002086
                    145,                0.48159,                0.25129,                0.78816,                0.89178,                 0.7691,                 0.8195,                0.61593,                0.77171,                0.38031,                0.83441,             0.00020506,             0.00020506,             0.00020506
                    146,                0.48036,                 0.2624,                 0.7931,                0.89097,                0.78236,                0.82311,                0.62574,                0.77626,                0.38521,                0.83558,             0.00020153,             0.00020153,             0.00020153
                    147,                0.47955,                0.25012,                0.79183,                 0.8857,                  0.795,                0.81835,                0.62026,                0.76767,                 0.3782,                0.83504,             0.00019799,             0.00019799,             0.00019799
                    148,                0.49243,                0.26241,                0.79005,                0.88242,                0.79149,                0.81395,                0.61086,                0.77139,                0.38139,                 0.8342,             0.00019446,             0.00019446,             0.00019446
                    149,                0.48419,                0.25452,                0.78969,                0.90796,                0.78296,                0.81598,                0.62122,                0.76457,                0.37801,                0.83429,             0.00019092,             0.00019092,             0.00019092
                    150,                0.49438,                0.25396,                0.78804,                 0.9119,                0.78241,                0.81748,                0.61649,                0.76569,                0.38443,                0.83517,             0.00018739,             0.00018739,             0.00018739
                    151,                0.50295,                0.26244,                0.79477,                0.91174,                0.78283,                0.81835,                0.61342,                0.76585,                0.39093,                0.83387,             0.00018385,             0.00018385,             0.00018385
                    152,                0.49193,                0.25296,                0.79567,                0.86514,                0.79056,                0.81313,                 0.6133,                0.76672,                0.38848,                0.83456,             0.00018032,             0.00018032,             0.00018032
                    153,                0.47469,                0.25117,                0.79634,                0.87531,                0.78397,                0.81345,                 0.6045,                0.77585,                0.38531,                0.83542,             0.00017679,             0.00017679,             0.00017679
